_id,Date,Gender,Race,Age at Booking,Current Age
1,2018-08-06,M,B,26,28
2,2018-08-06,M,B,31,32
3,2018-08-06,M,B,25,27
4,2018-08-06,M,W,27,29
5,2018-08-06,M,B,33,34
6,2018-08-06,M,B,21,22
7,2018-08-06,M,B,39,40
8,2018-08-06,M,W,30,31
9,2018-08-06,M,W,24,25
10,2018-08-06,M,W,37,39
11,2018-08-06,M,B,24,25
12,2018-08-06,M,B,46,47
13,2018-08-06,M,B,25,26
14,2018-08-06,M,B,40,41
15,2018-08-06,M,W,40,41
16,2018-08-06,M,W,25,26
17,2018-08-06,M,W,45,46
18,2018-08-06,M,W,38,39
19,2018-08-06,M,B,21,21
20,2018-08-06,M,W,42,42
21,2018-08-06,M,W,42,43
22,2018-08-06,M,B,44,45
23,2018-08-06,M,W,34,35
24,2018-08-06,M,B,24,25
25,2018-08-06,M,B,35,36
26,2018-08-06,M,B,21,22
27,2018-08-06,M,B,25,26
28,2018-08-06,M,W,45,46
29,2018-08-06,M,B,40,41
30,2018-08-06,M,B,23,23
31,2018-08-06,M,W,25,26
32,2018-08-06,M,B,44,44
33,2018-08-06,M,W,33,34
34,2018-08-06,M,W,52,52
35,2018-08-06,M,B,56,56
36,2018-08-06,M,W,20,21
37,2018-08-06,M,B,60,61
38,2018-08-06,M,W,26,26
39,2018-08-06,M,W,37,38
40,2018-08-06,M,B,31,31
41,2018-08-06,M,B,23,24
42,2018-08-06,M,B,31,32
43,2018-08-06,M,B,45,45
44,2018-08-06,M,B,21,21
45,2018-08-06,M,B,23,24
46,2018-08-06,M,W,34,34
47,2018-08-06,M,x,21,21
48,2018-08-06,M,B,62,62
49,2018-08-06,M,B,27,27
50,2018-08-06,M,W,26,26
51,2018-08-06,M,W,33,34
52,2018-08-06,M,B,19,19
53,2018-08-06,M,W,21,21
54,2018-08-06,M,B,20,21
55,2018-08-06,M,W,34,35
56,2018-08-06,M,W,30,30
57,2018-08-06,M,W,45,45
58,2018-08-06,M,W,32,32
59,2018-08-06,M,W,59,59
60,2018-08-06,M,W,25,25
61,2018-08-06,M,B,37,38
62,2018-08-06,M,B,21,21
63,2018-08-06,M,B,24,25
64,2018-08-06,M,W,35,35
65,2018-08-06,M,B,40,40
66,2018-08-06,M,B,27,27
67,2018-08-06,M,W,33,34
68,2018-08-06,M,B,38,38
69,2018-08-06,M,B,53,53
70,2018-08-06,M,B,29,29
71,2018-08-06,M,W,31,31
72,2018-08-06,M,B,35,35
73,2018-08-06,M,B,49,50
74,2018-08-06,M,W,52,53
75,2018-08-06,M,W,32,32
76,2018-08-06,M,W,31,31
77,2018-08-06,M,x,39,39
78,2018-08-06,M,B,34,34
79,2018-08-06,M,W,29,30
80,2018-08-06,M,W,27,27
81,2018-08-06,M,W,41,41
82,2018-08-06,M,W,23,23
83,2018-08-06,M,W,51,52
84,2018-08-06,M,B,27,27
85,2018-08-06,M,W,29,29
86,2018-08-06,M,W,25,25
87,2018-08-06,M,W,35,35
88,2018-08-06,M,W,36,36
89,2018-08-06,M,W,27,27
90,2018-08-06,M,W,21,21
91,2018-08-06,M,W,39,39
92,2018-08-06,M,H,24,24
93,2018-08-06,M,W,36,36
94,2018-08-06,M,x,21,21
95,2018-08-06,M,B,39,39
96,2018-08-06,M,W,42,42
97,2018-08-06,M,W,26,26
98,2018-08-06,M,B,18,21
99,2018-08-06,M,B,28,30
100,2018-08-06,M,B,16,18
101,2018-08-06,M,B,21,23
102,2018-08-06,M,B,37,39
103,2018-08-06,M,W,43,45
104,2018-08-06,M,B,22,24
105,2018-08-06,M,B,21,23
106,2018-08-06,M,B,29,30
107,2018-08-06,M,B,17,18
108,2018-08-06,M,B,28,29
109,2018-08-06,M,B,20,21
110,2018-08-06,M,B,29,30
111,2018-08-06,M,B,36,37
112,2018-08-06,M,B,32,33
113,2018-08-06,M,B,30,31
114,2018-08-06,M,W,19,20
115,2018-08-06,M,B,21,22
116,2018-08-06,M,B,26,27
117,2018-08-06,M,W,36,37
118,2018-08-06,M,B,59,60
119,2018-08-06,M,W,29,30
120,2018-08-06,M,B,44,45
121,2018-08-06,M,W,26,27
122,2018-08-06,M,W,32,33
123,2018-08-06,M,B,27,28
124,2018-08-06,M,B,31,31
125,2018-08-06,M,B,25,26
126,2018-08-06,M,B,17,18
127,2018-08-06,M,B,40,41
128,2018-08-06,M,B,28,29
129,2018-08-06,M,B,26,27
130,2018-08-06,M,B,28,29
131,2018-08-06,M,B,33,33
132,2018-08-06,M,B,17,18
133,2018-08-06,M,W,42,42
134,2018-08-06,M,W,35,36
135,2018-08-06,M,B,26,26
136,2018-08-06,M,W,31,31
137,2018-08-06,M,B,20,21
138,2018-08-06,M,W,22,23
139,2018-08-06,M,W,34,35
140,2018-08-06,M,B,22,22
141,2018-08-06,M,B,29,29
142,2018-08-06,M,B,24,24
143,2018-08-06,M,B,37,37
144,2018-08-06,M,B,24,25
145,2018-08-06,M,W,21,21
146,2018-08-06,M,W,31,32
147,2018-08-06,M,B,49,49
148,2018-08-06,M,B,29,29
149,2018-08-06,M,B,31,31
150,2018-08-06,M,B,19,19
151,2018-08-06,M,W,45,45
152,2018-08-06,M,B,26,26
153,2018-08-06,M,B,35,35
154,2018-08-06,M,W,30,30
155,2018-08-06,M,B,31,31
156,2018-08-06,M,B,25,25
157,2018-08-06,M,B,24,24
158,2018-08-06,M,B,23,23
159,2018-08-06,M,B,29,29
160,2018-08-06,M,B,27,27
161,2018-08-06,M,B,36,36
162,2018-08-06,M,B,22,22
163,2018-08-06,M,B,26,26
164,2018-08-06,M,B,15,17
165,2018-08-06,M,B,15,17
166,2018-08-06,M,W,16,17
167,2018-08-06,M,B,16,17
168,2018-08-06,M,B,17,17
